Transaction_ID,Date,Time,Merchant_ID,Customer_ID,Device_ID,Transaction_Type,Payment_Gateway,Transaction_City,Transaction_State,IP_Address,Transaction_Status,Device_OS,Transaction_Frequency,Merchant_Category,Transaction_Channel,Transaction_Amount_Deviation,Days_Since_Last_Transaction,amount,fraud
T00000013,07/03/24,4:30:37 AM,baa61c75-c26c-4345-aa0c-b451d395ee07,f0fb7fe3-5169-4ef4-9543-7db9c8325ecd,21f8d1f9-3ad9-4154-ad4e-440ae09694c5,Refund,IDFC UPI,Mira-Bhayandar,Andhra Pradesh,202.224.215.230,Completed,iOS,0,Other,Mobile,52.47,7,68.79,0
T00000014,30/07/23,5:34:50 AM,83567f4e-a71a-45e9-93df-9e510eb6ce17,544a3159-a8a8-4c31-9307-24755b525b90,aafcc4b6-cc9d-4e1d-a387-11b7a7bdb594,Bank Transfer,PhonePe,Dindigul,Gujarat,93.156.219.59,Pending,MacOS,4,Purchases,In-store,-9.43,6,20.32,0
T00000015,14/06/23,3:24:35 AM,8ac07c6a-31aa-4d07-b510-9f86e45a562e,72d2784f-916e-46bc-82e5-011c820f3828,012217d4-b061-48a0-830a-5aeaed51cd91,Investment,IDFC UPI,Suryapet,Sikkim,104.242.2.232,Pending,Windows,2,Donations and Devotion,Online,-41.28,29,13.56,0
T00000016,24/01/24,6:43:17 AM,6344f9d3-4285-481a-a669-ee9f75cd6b60,ae937406-739a-418d-b63c-a150de41dbe1,7770cd3b-d05a-47d8-8ae1-c1f66a38b972,Refund,PhonePe,Miryalaguda,West Bengal,219.150.230.47,Completed,MacOS,10,Purchases,Mobile,-46.66,26,30.19,0
T00000017,02/11/23,1:19:34 AM,f86d29db-140d-4c1c-8b7f-c9249c29b7b5,868935ed-09e5-42ae-ad63-23792b6e7639,0d856063-9801-479b-bbbb-fdc89ad4e1de,Refund,IDFC UPI,Dindigul,Rajasthan,38.204.193.23,Pending,iOS,0,Other,Mobile,-9.97,14,17.54,0
T00000018,16/03/24,8:39:02 AM,6cab5462-45af-4d96-bfe6-0965e428d823,8a43ea42-53cf-4d15-b9b9-fcd43e2d532c,6fcfb8d0-0dde-4f0c-96a0-e22efb33f30f,Bill Payment,Google Pay,Bhagalpur,Himachal Pradesh,34.53.229.159,Completed,Windows,0,Home delivery,In-store,74.89,15,40.69,0
T00000019,20/08/23,4:04:04 AM,babbadce-9e65-498d-975d-7ddc8de3258a,a6c52089-e263-4926-ab3b-2e10dd2edd26,74955dc2-7d15-49cf-906b-cf0c76b36981,Subscription,Other,Bareilly,Meghalaya,93.46.47.79,Pending,MacOS,1,Financial services and Taxes,Online,28.68,3,21.21,0
T00000020,26/02/24,9:21:43 AM,1bdea45b-8122-4631-bf6f-1179de419fcf,5c217d40-2cf3-47da-8af1-c0cf47534f2e,a23f7c61-64b0-44d9-8d25-54c44abfbba2,Subscription,PhonePe,Dindigul,Kerala,68.178.195.203,Failed,Windows,1,Donations and Devotion,Mobile,68.46,9,10.09,0
T00000021,27/04/23,10:04:04 AM,ebeeeb34-d51c-4190-885f-5fcba3242c80,deff70a2-2dda-4db2-8ed6-748844d4a46f,6ead0694-5813-43ea-84ad-bad4a666cf2b,Bill Payment,Google Pay,Kurnool,Andhra Pradesh,25.61.152.249,Pending,Android,5,Donations and Devotion,Online,-7.11,28,19.31,0
T00000022,24/07/23,8:43:25 AM,2e971dcc-3317-4510-a3fb-aa94b023b2a5,79e2d80c-5b68-476e-9996-615127ea1d56,a8a9daf6-a031-40bd-b489-ca925a4ba2b9,Investment,Other,Meerut,Manipur,55.17.121.232,Completed,Windows,0,Financial services and Taxes,Mobile,56.56,19,44.22,0
T00000023,15/03/24,4:00:32 AM,f29b9283-acf8-4732-ab97-f8d131159e60,07b38bbf-4b0e-4ac4-b433-40a9f4ab48ed,20624cad-25e5-4afd-bae1-ff4b9c925096,Other,Paytm,Miryalaguda,Bihar,26.22.136.8,Completed,Windows,2,Financial services and Taxes,Online,-11.95,13,44.39,0
T00000024,04/09/23,11:51:05 AM,76f81b01-720b-4cb5-b847-edc166ae2866,82ea8388-c837-480c-b20b-ea87c774e8db,dbcdcbea-6f10-4350-94bc-39af3602d5cc,Bank Transfer,CRED,Surat,Andhra Pradesh,2.160.125.98,Pending,Windows,2,Other,In-store,46.7,20,30.72,0
T00000025,02/03/24,7:32:44 AM,f766ff25-4be7-49db-8f4d-945885c8bb7f,fd9a241f-e76e-4d1c-b856-b29af6276361,1184419e-33fb-4dd5-a7b1-c4571430b91e,Bill Payment,ICICI UPI,Shimoga,Telangana,113.74.120.199,Completed,MacOS,3,Home delivery,Online,-41.49,20,29.84,0
T00000026,09/06/23,8:24:08 AM,e5f73860-66f3-4b5d-b317-cddfc4c44623,223b1af8-e4fb-4f8b-ad18-9aade0550171,2dbd133d-6faa-426f-80ed-0ab2af1bfbea,Subscription,Paytm,Singrauli,Bihar,212.54.144.250,Failed,iOS,2,Investment,In-store,-32.62,7,12.1,0
T00000027,29/01/24,9:44:38 AM,b736ccdf-16cd-46a5-86ca-fa6115ef781a,fe208dab-c19b-4be9-9cb0-e02c470fe397,6656764d-9359-49c7-ae19-a43e8270e1d0,Bank Transfer,Razor Pay,Madurai,Gujarat,9.113.26.192,Pending,Android,0,Donations and Devotion,Online,-37.79,16,24.84,0
T00000028,16/02/24,4:08:55 AM,d175d98b-0ea6-453c-a008-ea5b23c5bbf2,fb8a881b-ebb4-4bdd-b886-2363d7989db1,8ac41e80-640e-4654-9233-c540c71f8ed5,Subscription,Razor Pay,Sambalpur,Andhra Pradesh,18.27.143.179,Failed,Android,0,More Services,Online,50.16,3,16.42,0
T00000029,15/04/23,8:17:43 AM,60e066c4-aa54-4c01-b0d5-7c3f8f0d91cd,a18304b3-b5a5-42c0-9ee4-0a4b2a936374,51e9f8f1-a0e3-40ec-b1a5-c10796824eae,Bill Payment,Razor Pay,Uluberia,Chhattisgarh,42.208.170.74,Completed,MacOS,2,Home delivery,In-store,-98.61,22,2.19,0
T00000030,07/04/24,11:36:44 AM,1949a9c5-d9cb-445e-93a4-e2b18c704b72,437284c3-23ba-4003-ab88-14bcb45265ec,01dba0b4-ff29-42c2-bb20-6b761a6b97f3,Subscription,PhonePe,Moradabad,Gujarat,149.115.183.51,Completed,iOS,4,Home delivery,Online,53.58,26,32.27,0
T00000031,07/07/23,4:22:00 AM,467be3dd-a1c1-4719-ba50-8d3ca0706534,7f92c933-5fee-4378-a256-7f14541beac2,b6311420-4541-45bb-bba6-de1a5a00c029,Investment,Paytm,Bardhaman,Kerala,122.190.92.17,Completed,Windows,0,Utilities,Mobile,4.8,4,28.09,0
T00000032,22/03/24,12:55:19 PM,94b16386-6716-4db8-a839-f83894f5157a,1c5bd553-af66-4c52-93d9-5fb69de283da,0e2adecb-ef76-434e-a72f-2e43d964dff9,Refund,IDFC UPI,Bikaner,Gujarat,48.199.213.80,Failed,Android,3,More Services,Mobile,-50.57,1,16.13,0
T00000033,08/10/23,4:16:00 AM,456ca063-7ddb-48ae-a718-ea6677737ca8,eebaafd1-5c92-4698-a60b-520567bffeed,8440f597-1494-4cc7-91e3-9d7a66824615,Investment,Paytm,South Dumdum,Chhattisgarh,106.220.243.101,Failed,Windows,20,Other,Online,24.68,4,32.7,0
T00000034,14/09/23,1:38:30 AM,c2fc210b-873f-461e-8acb-45e734cdcf0e,ebbf4c45-c478-4543-8bb4-3f147093de06,68b4fe67-e31f-4ae5-9d28-4137c28935cc,Investment,Razor Pay,Katni,Telangana,109.230.97.250,Failed,Windows,2,Home delivery,Mobile,51.08,5,25.53,0
T00000035,23/10/23,11:11:11 AM,9b2979a7-df52-4591-b490-6284c8a8c8f6,4d6df980-e073-42a1-b350-48a23547a89c,1964f608-43f7-4ecf-ae1c-b03cb5daaa57,Other,HDFC,Junagadh,Madhya Pradesh,175.250.54.249,Completed,MacOS,4,Utilities,Online,-27.24,8,39.22,0
T00000036,28/06/23,5:15:36 AM,3709852e-fe22-46c0-a9c6-964c23bb2d2b,7f8e8cb2-d1d6-470f-85b1-75d4f74b057e,b2704fcc-6870-4f43-98d3-731bbbbc26ff,Refund,CRED,Madanapalle,Bihar,151.172.81.161,Completed,Windows,0,Financial services and Taxes,In-store,-42.76,29,46.14,0
T00000037,09/06/23,11:23:17 AM,1c559677-336b-44a8-898c-4ed410633fb8,ea3c9c1d-59a1-41c8-b608-62bbfe9ecf24,9868f2ac-a94d-40d2-b42e-8555785605c6,Subscription,Google Pay,Tezpur,Gujarat,133.174.172.234,Failed,iOS,2,Purchases,Online,83.51,26,29.55,0
T00000038,23/04/23,5:08:35 AM,90e035bb-24c7-45f2-9172-c56991ac1f4f,b0a0f6ca-d1d3-4689-942c-df0618880612,238e301f-bc1b-498a-bfa0-1ce874336996,Subscription,PhonePe,Bulandshahr,Maharashtra,222.124.13.195,Failed,MacOS,30,Investment,Online,-16.2,9,36.88,0
T00000039,09/07/23,6:54:17 AM,717cebf0-8e5a-432b-9d61-0b9f28c609a3,66c5d7db-dd44-4647-bc4d-4a6ffb133528,b11b2c5a-d4a8-4f9a-8805-e116209b7e81,Bank Transfer,ICICI UPI,Chinsurah,Meghalaya,202.1.135.42,Completed,Android,2,Investment,In-store,13.33,26,36.15,0
T00000040,05/07/23,1:50:24 AM,205239ff-cf28-40dc-bd0e-a407b413fbd1,e42a0305-766f-4bdf-9a9f-75b93025d888,01072c16-55f1-4da2-bf81-4ff3beb72909,Bank Transfer,IDFC UPI,Rampur,Gujarat,104.251.45.104,Failed,MacOS,0,More Services,In-store,64.18,28,2.81,0
T00000041,04/06/23,1:41:13 AM,21a60b32-f2c7-461d-8a63-1aba75150644,d388b354-7245-4aba-8648-e4e7bca068b9,5f16c282-f69f-403a-bef5-868130616cb0,Subscription,Razor Pay,Kochi,Tripura,162.200.243.218,Completed,Windows,1,Other,In-store,35.52,9,87.67,0
T00000042,10/05/23,2:27:41 AM,00a9d56a-5d09-4d3c-b02d-1cc25c0238a4,3a8c532e-3b90-4749-981c-af0f50aa7b24,93b77e50-4bea-4911-a421-1adcfeddbe04,Refund,CRED,Madanapalle,Mizoram,57.126.188.199,Failed,iOS,10,Brand Vouchers and OTT,Mobile,61.4,21,11.17,0
T00000043,26/01/24,7:03:53 AM,f94fc928-2ef2-401b-bce8-7b35d8dfcd42,f7bc9858-1292-4109-b26b-30f2ba82c2b2,8824339d-e28f-4c12-85ef-b6d35def75a1,Bank Transfer,PhonePe,Silchar,Arunachal Pradesh,36.124.7.87,Failed,Windows,1,Brand Vouchers and OTT,In-store,80.65,29,105.59,0
T00000044,05/01/24,8:34:31 AM,24ce584b-0984-4404-9d8b-dd5c324659d1,9eeadc8b-8ae6-40f6-9e0a-55c4925251a0,55f4c281-c76f-41b7-89a5-09d8ff16ebe2,Bank Transfer,Razor Pay,Gaya,Nagaland,169.200.228.195,Failed,MacOS,2,Donations and Devotion,In-store,79.62,28,15.25,0
T00000045,10/06/23,7:57:12 AM,92b781ee-5c74-4466-8c20-fa9b9da4f88b,23742d9c-1b9e-40fa-87d2-39ddfd42883f,e2fd5325-937f-4e11-9f0a-f05457cec87c,Investment,Google Pay,Phusro,West Bengal,5.225.2.245,Failed,Windows,2,More Services,In-store,-40.74,27,33.36,0
T00000046,21/06/23,3:06:40 AM,4975c562-171f-4ec2-8d95-21284fe5f309,e9ede5d3-b292-4b98-b715-c92508e10231,79f52108-eda1-4ab8-8b3c-8617c7d23e30,Bill Payment,Other,Jodhpur,Tripura,210.11.180.220,Completed,MacOS,3,Home delivery,In-store,-20.3,2,32.96,0
T00000047,10/11/23,1:49:34 AM,23398cd2-a748-4736-be59-eee528c39400,d7c9a1be-643d-40e0-a924-ae070bd5d594,d86e7e35-c9cf-4c24-b21c-4f0c3a06a60e,Refund,CRED,Ghaziabad,Punjab,26.205.79.81,Completed,Windows,4,Investment,Mobile,-84.53,24,16.96,0
T00000048,27/10/23,11:25:06 AM,9151c8bc-fb55-418b-966e-9d551672a8f1,ff6351e7-a427-4ec0-8a57-e9dde769b80f,04bd5f02-3f4d-454d-99d7-12e20e9f8b8f,Refund,Google Pay,Jalandhar,Mizoram,130.241.186.128,Failed,Windows,1,Home delivery,In-store,-65.9,20,49.91,0
T00000049,14/09/23,8:17:54 AM,664d93ca-1cf9-4d97-9158-8b0b7e9b75d2,f6646aca-80f0-4ea6-a657-11d77704646d,8a3e3b54-7048-4816-9362-b99ac71707c0,Other,Paytm,Shahjahanpur,Andhra Pradesh,176.156.39.88,Failed,iOS,5,Travel bookings,Online,47.9,8,0.93,0
T00000050,06/01/24,2:46:01 AM,cc884531-6501-4cc5-80d5-70827002b84f,77854156-d5d0-486e-8386-56b8f6641a81,147c2658-3a6b-4f0b-89c5-8d4337c44fdd,Investment,HDFC,Unnao,Odisha,169.107.34.23,Pending,MacOS,1,Purchases,In-store,48.2,4,37.71,0
T00000051,06/07/23,12:37:30 PM,ab5df9cd-9e31-41b2-90af-6467b119e8c4,3b81916f-5dfc-499e-b281-990f0eac3277,ed849140-db6f-46f8-b1a1-614e1821bd33,Subscription,CRED,Berhampur,Nagaland,212.239.160.235,Pending,Windows,5,Other,Online,-62.54,19,12.53,0
T00000052,17/02/24,1:14:42 AM,8f11386a-8746-42f6-b7f4-e554d7855e3a,8a6af809-de3e-4009-920a-92d36b0d5c40,ee7ecd4c-8e2f-44b9-a6af-1c35ee4db8cd,Refund,Google Pay,Bhiwandi,Meghalaya,191.82.59.93,Pending,Android,0,Donations and Devotion,In-store,-32.76,12,56.97,0
T00000053,01/11/23,6:56:07 AM,52337a16-07ea-499f-ac49-768d48f59fa1,ca2990c3-eeda-4268-98af-316e7e781fd8,346e6553-f62c-4400-827b-ed50c241d758,Purchase,PhonePe,Srikakulam,Maharashtra,150.28.145.83,Failed,iOS,20,Donations and Devotion,Mobile,49.59,8,31.32,0
T00000054,11/05/23,6:53:09 AM,42b24263-0d20-4e88-bc28-c586e17fed26,1557bb5b-70e7-47da-b01e-9065067f0c47,19113f0f-87d5-437b-aae7-dc40db0a4b5e,Bill Payment,Google Pay,Kurnool,Bihar,87.77.18.110,Completed,Windows,0,Travel bookings,In-store,64.13,24,21.15,0
T00000055,24/12/23,6:07:51 AM,08c57685-6834-4eb9-8e16-1203eb75f7b2,7dcba8e8-669c-4796-809f-9caefef9d9ed,e7f7e38a-dcd9-4440-8d33-b3f7afc8028f,Refund,ICICI UPI,Muzaffarnagar,Goa,161.235.114.66,Pending,iOS,2,Travel bookings,Online,81.51,23,3.12,0
T00000056,07/06/23,12:53:47 PM,a1943c61-f46b-4e27-ac6e-9e95de319ae0,8ef63064-1cb9-4202-9f36-fd63d55db29e,e65db191-f17c-4b3a-a8f3-91f994b5c480,Investment,Google Pay,Chinsurah,Bihar,133.234.123.228,Completed,Windows,5,Financial services and Taxes,Online,55.9,19,33.41,0
T00000057,12/02/24,5:22:47 AM,061fb93c-2d60-468a-b00b-9a0652c309dd,aa4a94ea-b079-4ed8-ba6d-5d0271dde54d,e8e1a62f-ef46-4f0b-b00d-76b43f8b5a07,Bill Payment,Other,Dehradun,Chhattisgarh,28.184.110.60,Failed,Android,1,Home delivery,Mobile,-9.26,16,45.92,0
T00000058,03/12/23,8:47:33 AM,629a5a38-9932-44f5-bc6a-7c2d37c7575f,a8466f36-cfc9-4c1b-a28f-8552121c48d8,7d41aacd-0afa-41ab-b45f-d7be4471c279,Bill Payment,HDFC,Aizawl,Bihar,136.162.117.185,Completed,iOS,1,Purchases,In-store,-16.86,27,36.82,0
T00000059,25/12/23,6:06:03 AM,4380678a-a904-4d75-91b9-320f5e0cbda7,248dfe2c-6740-4cfc-90f7-a20538ce0a20,bdb33cd3-578b-4f50-9fe8-1ca48f2dff7c,Bank Transfer,Paytm,Gopalpur,Arunachal Pradesh,85.12.194.163,Pending,MacOS,1,Financial services and Taxes,Online,-1.27,26,20.05,0
T00000060,14/03/24,6:14:02 AM,d34dd140-2970-45ac-9897-2b8a3d0c0be9,47367f46-02ae-4b9c-83ff-5accaa5f672d,80f5509a-0933-4467-888b-65d8a6c745f6,Subscription,PhonePe,Malda,Odisha,45.65.205.226,Failed,Windows,4,Donations and Devotion,In-store,14.91,8,43.75,0
T00000061,25/03/24,12:12:34 PM,2e6d0051-279f-4173-a048-18cdf8d3d4cd,ef0415cf-76fe-48b6-a5c4-592065bd1cae,03b5c67e-afbd-4367-922f-0b1fbac1a951,Investment,Google Pay,Mira-Bhayandar,Manipur,101.241.91.218,Completed,Windows,1,Travel bookings,Online,-98.96,10,44.88,0
T00000062,14/08/23,6:28:11 AM,949c118f-457d-48a2-bd96-a62b725d1eb0,f488c23c-e74c-48f4-955a-3411959cbfb2,3175d0be-9ed8-425d-a114-9f181f5125f9,Bill Payment,HDFC,Kota,Uttar Pradesh,129.89.96.5,Pending,MacOS,1,Purchases,In-store,31.51,10,18.45,0
T00000063,14/01/24,8:44:48 AM,35cf9125-167c-4f22-9731-0de642def996,c782563b-e5c6-4bdd-8b9a-d6edbe742c43,d886ff14-b830-4470-96a1-e1118f6100d7,Bank Transfer,Razor Pay,Ichalkaranji,Tamil Nadu,185.208.30.98,Failed,MacOS,1,More Services,Online,-49.68,12,29.66,0
T00000064,22/07/23,6:58:32 AM,f2e5b5b4-fdef-4c81-a43a-df182a3923ca,96ae6157-7db3-48c8-bb81-125eb58e6ddc,2abde5ad-ed27-473d-95ad-a0c674127269,Bank Transfer,IDFC UPI,Amroha,Uttarakhand,104.138.232.217,Pending,MacOS,1,Home delivery,Online,-12.76,17,28.38,0
T00000065,13/02/24,11:28:44 AM,502b62be-a1b6-4ce8-9e1e-b2799aba0791,42bf38ab-5c3f-406f-bb3c-826b3cc6b039,d466a973-552b-4f7d-ba56-23705c5201c1,Refund,CRED,Bhilai,Bihar,33.109.13.126,Completed,Windows,4,Brand Vouchers and OTT,Mobile,-44.62,5,62.76,0
T00000066,01/11/23,1:28:18 AM,f5999aab-25bb-45ce-9c15-0eeb46a3aea1,6e318b7e-223a-470a-ae62-e9fc9629ac86,e595670e-6060-4328-870b-7e51285d9272,Bill Payment,Other,Ballia,Tripura,76.107.49.51,Pending,Android,7,Travel bookings,Mobile,72.14,19,21.6,0
T00000067,12/09/23,8:37:33 AM,2425005e-46af-4a8f-85dd-0467ed28f179,fc1a03eb-26bd-40c8-9934-e42c6f69743f,0438686d-7715-45e7-b7e1-c5e81f6da6e1,Purchase,Other,Nashik,Tripura,96.55.138.70,Failed,iOS,3,Other,Mobile,24.5,7,30.74,0
T00000068,04/10/23,8:22:41 AM,aeef402b-8aa5-4c65-a75c-5e0ec6f4bb39,f1c2d155-b7cb-4a2d-b062-803a7819cde8,2aba2f8d-1d67-410d-91e5-79232464e2ba,Purchase,Google Pay,Dhule,West Bengal,173.63.251.241,Completed,Windows,2,Travel bookings,In-store,-84.65,27,58.33,0
T00000069,09/07/23,6:13:55 AM,9eeb3f3b-4677-4ee8-81e3-46ce4c357922,1489acd5-e50c-46cd-8939-f1e2a853e5a2,c5d6d3da-c376-4306-9f85-32311646095c,Other,HDFC,Ballia,Assam,118.197.43.61,Pending,Android,3,Brand Vouchers and OTT,Online,-24.09,28,44.07,0
T00000070,15/01/24,2:12:05 AM,fe9e9dae-455f-4bcc-b64e-629c6eb1fd61,4e001c34-dff2-40fd-be15-a3c107a0ca65,dc61263e-e535-409b-b3d9-7606f65ca7d6,Other,PhonePe,Medininagar,Sikkim,98.168.204.247,Completed,Windows,2,Purchases,Mobile,-25.37,8,6.52,0
T00000071,27/01/24,9:43:55 AM,21a371ee-0430-424c-bbc0-bb271f7d2b8d,5b7e0707-bd0f-40d3-bf65-e725b92b879d,1cbe7f7d-3a98-486a-82ef-60c23c10a874,Subscription,Google Pay,Akola,Manipur,222.87.207.110,Completed,MacOS,1,Financial services and Taxes,Mobile,-57.42,28,2.96,0
T00000072,10/05/23,8:55:54 AM,3ddca6b9-b625-43ca-b124-6c6cfab3dbf0,c982bff0-88d9-4ec5-be8f-611486f4e6f8,7bfd7560-6ae0-49d4-95f6-e73d3434364a,Bank Transfer,HDFC,Bathinda,Manipur,84.12.249.61,Pending,iOS,20,Purchases,In-store,99.15,25,44.69,0
T00000073,28/10/23,3:28:09 AM,b4796035-6e32-4a36-b52d-e5a1b7b4a40b,8f1901f6-2378-45eb-8e5e-078b39c7be29,968ebd7e-2bd8-4984-8e98-b7ab1b8127fb,Other,Other,Pali,Arunachal Pradesh,201.156.52.131,Pending,Android,1,Investment,In-store,-15.43,2,5.01,0
T00000074,16/10/23,2:35:01 AM,10bfe127-c75c-421d-8d28-43700df91449,1d3cb439-6615-453f-8fb5-0c2b7a22082a,e12be424-c7e1-4007-877c-500a8a7dc2fd,Bank Transfer,Other,Hapur,West Bengal,22.155.169.143,Failed,MacOS,3,Purchases,In-store,-78.32,1,9.74,0
T00000075,24/06/23,2:11:55 AM,4c2abb90-51d8-42e0-8e1b-15ffabbce59a,ab88bb63-13f3-4d16-8f09-e6c51b486e12,c3f7d7d1-9534-4820-ab7e-365285d9947f,Bill Payment,Paytm,Haridwar,Haryana,137.34.152.20,Pending,Windows,1,Brand Vouchers and OTT,In-store,98.05,17,10.1,0
T00000076,17/06/23,11:52:48 AM,dbde6c2f-415b-4a27-950d-9704c589f0d3,f611a816-24e2-41b2-9d0c-2a0f0ff9bbf4,a2f07c9e-5e3c-425a-9d00-98a86fda99ff,Purchase,CRED,Sagar,Haryana,72.181.130.28,Completed,Windows,10,Home delivery,Online,13.45,29,58.64,0
T00000077,02/02/24,12:05:25 PM,40451e44-170f-4568-8cc5-74d7c3382b1a,b3e76458-5dd9-4e29-a0e1-6ecd2b6258a7,38c0d543-edf0-47f8-8d5d-5d18f61e4b41,Investment,Google Pay,Mahbubnagar,Goa,186.193.53.205,Pending,MacOS,3,Other,In-store,-21.03,16,29.2,0
T00000078,12/01/24,11:51:50 AM,99b85c3b-c944-496d-9e86-784ad3fda032,73089be7-3564-4c49-8d54-3e83f315b6f8,b63567ad-7435-42c7-9b54-bc0981b59d6c,Purchase,HDFC,Raurkela Industrial Township,Karnataka,114.117.65.65,Failed,MacOS,1,Utilities,In-store,80.02,3,32.6,0
T00000079,03/01/24,9:29:18 AM,904836ca-f7df-44a4-9ced-c5f83b23c611,e1360a73-bb3a-4c1c-8758-b9cd2ef4af31,459b089d-5119-4533-83a7-b89250ac5d1a,Refund,CRED,Srikakulam,West Bengal,93.255.230.201,Completed,MacOS,2,Other,Mobile,18.75,16,52.35,0
T00000080,23/09/23,4:19:40 AM,0fc8d658-b1d2-4a1c-a476-82200b300fe2,bc284cf1-a5a3-4a64-b333-131c90e3100e,c5ca6dd6-42f4-45dc-af0e-c641b482d89d,Subscription,Paytm,Udupi,Sikkim,135.177.166.203,Pending,iOS,1,Other,In-store,44.99,19,159.92,0
T00000081,20/06/23,6:38:02 AM,f72046a0-5e17-4c7b-8fd0-86196db2022b,e4902c4a-80d8-4570-8b37-a0816f10d556,e2a6351c-2ef3-4008-aafd-c46c5fdcd4a6,Bank Transfer,Paytm,Sambhal,Rajasthan,95.44.81.53,Pending,Windows,1,Travel bookings,Online,-8.67,24,26.37,0
T00000082,11/11/23,1:45:01 AM,9371f6c6-03b1-468f-8db5-8d9de63c6d6b,6ba6b9b6-5234-43c3-a2e1-593c409edc5b,9adc9743-8377-4551-b717-be1f71e7513f,Refund,PhonePe,Bhiwani,Goa,165.216.78.193,Pending,iOS,7,Other,In-store,24.08,22,49.07,0
